Participant ID,CCP3-A-O
'k',2019-11-08 16:13:53.804778	
Key.space,2019-11-08 16:13:54.019315	
'i',2019-11-08 16:13:54.540003	
Key.space,2019-11-08 16:13:54.691846	
Key.backspace,2019-11-08 16:13:55.041782	
Key.backspace,2019-11-08 16:13:55.192096	
Key.shift,2019-11-08 16:13:55.299291	
Key.shift,2019-11-08 16:13:55.817342	
Key.shift,2019-11-08 16:13:55.851584	
Key.shift,2019-11-08 16:13:55.885842	
Key.shift,2019-11-08 16:13:55.919476	
Key.shift,2019-11-08 16:13:55.953920	
Key.shift,2019-11-08 16:13:55.988691	
Key.shift,2019-11-08 16:13:56.022827	
Key.shift,2019-11-08 16:13:56.057244	
Key.shift,2019-11-08 16:13:56.358290	
'i',2019-11-08 16:13:56.479658	
Key.space,2019-11-08 16:13:56.599800	
'w',2019-11-08 16:13:56.785532	
'a',2019-11-08 16:13:57.012459	
's',2019-11-08 16:13:57.114456	
Key.space,2019-11-08 16:13:57.255567	
's',2019-11-08 16:13:57.374677	
'u',2019-11-08 16:13:57.464861	
'p',2019-11-08 16:13:57.663365	
'r',2019-11-08 16:13:57.829731	
'i',2019-11-08 16:13:57.966577	
's',2019-11-08 16:13:58.152434	
'e',2019-11-08 16:13:58.239107	
'd',2019-11-08 16:13:58.466658	
Key.backspace,2019-11-08 16:13:58.972457	
'd',2019-11-08 16:14:00.235595	
Key.shift,2019-11-08 16:14:02.571176	
'/',2019-11-08 16:14:02.765535	
Key.enter,2019-11-08 16:14:03.031936	
Key.esc,2019-11-08 16:14:51.194358	
