Participant ID,CCP1-A-I
",",2019-11-08 15:12:05.607180	Key.space,2019-11-08 15:12:05.849162	
'h',2019-11-08 15:12:06.122488	
'b',2019-11-08 15:12:06.263876	
'u',2019-11-08 15:12:06.454269	
Key.shift,2019-11-08 15:12:08.686408	
'/',2019-11-08 15:12:08.786026	
Key.shift,2019-11-08 15:12:59.565041	
't',2019-11-08 15:12:59.765022	
'h',2019-11-08 15:13:00.109870	
'a',2019-11-08 15:13:00.472092	
't',2019-11-08 15:13:00.659256	
"'",2019-11-08 15:13:02.064186	
's',2019-11-08 15:13:02.284946	
Key.space,2019-11-08 15:13:02.704700	
'n',2019-11-08 15:13:03.028805	
'i',2019-11-08 15:13:03.284187	
'c',2019-11-08 15:13:03.435025	
'e',2019-11-08 15:13:03.561254	
Key.shift,2019-11-08 15:13:06.683590	
'1',2019-11-08 15:13:06.901983	
Key.backspace,2019-11-08 15:13:08.046440	
Key.shift,2019-11-08 15:13:08.272144	
'1',2019-11-08 15:13:08.447333	
Key.enter,2019-11-08 15:13:10.160552	
Key.shift,2019-11-08 15:13:24.474426	
's',2019-11-08 15:13:24.800480	
'o',2019-11-08 15:13:25.673676	
'r',2019-11-08 15:13:26.035400	
'r',2019-11-08 15:13:26.241544	
'y',2019-11-08 15:13:26.636162	
Key.space,2019-11-08 15:13:27.249113	
Key.backspace,2019-11-08 15:13:29.359010	
Key.backspace,2019-11-08 15:13:29.605754	
Key.backspace,2019-11-08 15:13:29.911664	
Key.backspace,2019-11-08 15:13:30.627685	
Key.backspace,2019-11-08 15:13:31.762949	
Key.backspace,2019-11-08 15:13:32.031648	
Key.shift,2019-11-08 15:13:50.625002	
't',2019-11-08 15:13:50.832369	
'h',2019-11-08 15:13:51.133594	
'a',2019-11-08 15:13:51.251743	
't',2019-11-08 15:13:51.498563	
"'",2019-11-08 15:13:52.174780	
's',2019-11-08 15:13:52.362714	
Key.space,2019-11-08 15:13:53.058816	
'c',2019-11-08 15:13:53.267938	
'o',2019-11-08 15:13:53.488271	
'o',2019-11-08 15:13:53.665378	
'l',2019-11-08 15:13:53.888673	
",",2019-11-08 15:13:55.397387	Key.space,2019-11-08 15:13:56.012784	
Key.backspace,2019-11-08 15:13:57.937611	
Key.backspace,2019-11-08 15:13:58.240688	
Key.shift,2019-11-08 15:14:00.325432	
'1',2019-11-08 15:14:00.524201	
Key.space,2019-11-08 15:14:00.855914	
Key.shift,2019-11-08 15:14:01.301177	
'y',2019-11-08 15:14:01.493827	
'e',2019-11-08 15:14:01.762973	
'a',2019-11-08 15:14:01.980662	
'h',2019-11-08 15:14:02.124406	
Key.space,2019-11-08 15:14:02.375380	
Key.shift,2019-11-08 15:14:02.644553	
'i',2019-11-08 15:14:02.877807	
Key.space,2019-11-08 15:14:03.233568	
'm',2019-11-08 15:14:03.498522	
'i',2019-11-08 15:14:03.688266	
's',2019-11-08 15:14:03.821887	
's',2019-11-08 15:14:03.959383	
Key.space,2019-11-08 15:14:04.668541	
'm',2019-11-08 15:14:05.063789	
'i',2019-11-08 15:14:05.251771	
'n',2019-11-08 15:14:05.424486	
'e',2019-11-08 15:14:05.557054	
Key.space,2019-11-08 15:14:05.768447	
't',2019-11-08 15:14:05.924572	
'o',2019-11-08 15:14:06.057766	
'o',2019-11-08 15:14:06.237085	
Key.backspace,2019-11-08 15:14:09.569559	
Key.backspace,2019-11-08 15:14:10.087873	
Key.backspace,2019-11-08 15:14:10.122254	
Key.backspace,2019-11-08 15:14:10.155825	
Key.backspace,2019-11-08 15:14:10.190214	
Key.backspace,2019-11-08 15:14:10.224133	
Key.backspace,2019-11-08 15:14:10.259169	
Key.backspace,2019-11-08 15:14:10.293046	
Key.backspace,2019-11-08 15:14:10.326918	
Key.backspace,2019-11-08 15:14:10.361339	
Key.backspace,2019-11-08 15:14:10.395412	
Key.backspace,2019-11-08 15:14:10.429670	
Key.backspace,2019-11-08 15:14:10.463860	
Key.backspace,2019-11-08 15:14:10.497987	
Key.backspace,2019-11-08 15:14:10.873989	
Key.backspace,2019-11-08 15:14:11.407222	
Key.backspace,2019-11-08 15:14:11.891640	
Key.backspace,2019-11-08 15:14:12.145844	
Key.backspace,2019-11-08 15:14:12.525164	
Key.backspace,2019-11-08 15:14:12.744728	
Key.shift,2019-11-08 15:14:16.089594	
