Participant ID,
's',2019-11-05 17:25:43.337414	
'h',2019-11-05 17:25:43.440406	
Key.space,2019-11-05 17:25:43.541148	
Key.shift,2019-11-05 17:25:43.731866	
'i',2019-11-05 17:25:43.758127	
Key.space,2019-11-05 17:25:43.882915	
'c',2019-11-05 17:25:44.069664	
'o',2019-11-05 17:25:44.197012	
'u',2019-11-05 17:25:44.378249	
'l',2019-11-05 17:25:44.542619	
'd',2019-11-05 17:25:44.659095	
Key.space,2019-11-05 17:25:44.774902	
's',2019-11-05 17:25:44.966819	
'a',2019-11-05 17:25:45.060745	
'y',2019-11-05 17:25:45.189089	
Key.space,2019-11-05 17:25:45.298683	
't',2019-11-05 17:25:45.393368	
'h',2019-11-05 17:25:45.489749	
'e',2019-11-05 17:25:45.584986	
Key.space,2019-11-05 17:25:45.676090	
's',2019-11-05 17:25:45.921679	
'a',2019-11-05 17:25:45.999839	
'm',2019-11-05 17:25:46.055258	
'e',2019-11-05 17:25:46.202182	
'y',2019-11-05 17:26:12.703956	
'o',2019-11-05 17:26:12.811739	
'u',2019-11-05 17:26:13.038906	
"'",2019-11-05 17:26:13.495277	
'r',2019-11-05 17:26:13.602829	
'e',2019-11-05 17:26:13.680909	
Key.space,2019-11-05 17:26:13.914578	
'i',2019-11-05 17:26:14.606557	
Key.backspace,2019-11-05 17:26:15.699154	
'k',2019-11-05 17:26:16.038230	
'i',2019-11-05 17:26:16.179292	
'n',2019-11-05 17:26:16.335531	
'd',2019-11-05 17:26:16.428978	
Key.space,2019-11-05 17:26:16.539433	
'o',2019-11-05 17:26:16.734814	
'f',2019-11-05 17:26:16.856357	
Key.space,2019-11-05 17:26:16.945238	
'w',2019-11-05 17:26:17.260486	
'e',2019-11-05 17:26:17.404729	
'i',2019-11-05 17:26:17.597545	
'r',2019-11-05 17:26:17.651346	
'd',2019-11-05 17:26:17.824375	
Key.enter,2019-11-05 17:26:18.437898	
'w',2019-11-05 17:26:35.916208	
'e',2019-11-05 17:26:36.122302	
'i',2019-11-05 17:26:36.436209	
'r',2019-11-05 17:26:36.499797	
'd',2019-11-05 17:26:36.669827	
Key.space,2019-11-05 17:26:37.472773	
'w',2019-11-05 17:26:37.706213	
'e',2019-11-05 17:26:37.883636	
'i',2019-11-05 17:26:38.054239	
'r',2019-11-05 17:26:38.130304	
'd',2019-11-05 17:26:38.871702	
Key.enter,2019-11-05 17:26:39.743905	
'a',2019-11-05 17:28:27.739219	
'r',2019-11-05 17:28:28.015554	
'e',2019-11-05 17:28:28.117355	
Key.space,2019-11-05 17:28:28.250589	
'y',2019-11-05 17:28:28.450303	
'o',2019-11-05 17:28:28.904941	
'u',2019-11-05 17:28:29.117430	
Key.space,2019-11-05 17:28:29.229461	
'a',2019-11-05 17:28:29.368355	
Key.space,2019-11-05 17:28:29.490713	
'r',2019-11-05 17:28:29.899579	
'o',2019-11-05 17:28:29.989025	
'b',2019-11-05 17:28:30.471889	
'o',2019-11-05 17:28:30.853668	
't',2019-11-05 17:28:30.922600	
Key.backspace,2019-11-05 17:28:34.345039	
Key.backspace,2019-11-05 17:28:34.862791	
Key.backspace,2019-11-05 17:28:34.897063	
Key.backspace,2019-11-05 17:28:34.930835	
Key.backspace,2019-11-05 17:28:34.964772	
Key.backspace,2019-11-05 17:28:34.999338	
Key.backspace,2019-11-05 17:28:35.032828	
Key.backspace,2019-11-05 17:28:35.068272	
Key.backspace,2019-11-05 17:28:35.102335	
Key.backspace,2019-11-05 17:28:35.136822	
Key.backspace,2019-11-05 17:28:35.171159	
Key.backspace,2019-11-05 17:28:35.204579	
Key.backspace,2019-11-05 17:28:35.239386	
Key.backspace,2019-11-05 17:28:35.272683	
Key.backspace,2019-11-05 17:28:35.307925	
Key.backspace,2019-11-05 17:28:35.341809	
Key.backspace,2019-11-05 17:28:35.375581	
Key.backspace,2019-11-05 17:28:35.410750	
Key.backspace,2019-11-05 17:28:35.445126	
Key.backspace,2019-11-05 17:28:35.478816	
Key.backspace,2019-11-05 17:28:35.513670	
Key.backspace,2019-11-05 17:28:35.547357	
'h',2019-11-05 17:28:35.873952	
'o',2019-11-05 17:28:36.085997	
'w',2019-11-05 17:28:36.206221	
Key.space,2019-11-05 17:28:36.367600	
'd',2019-11-05 17:28:36.461061	
'o',2019-11-05 17:28:36.556293	
Key.space,2019-11-05 17:28:36.921405	
'y',2019-11-05 17:28:37.175580	
'o',2019-11-05 17:28:37.254448	
'u',2019-11-05 17:28:37.461260	
Key.space,2019-11-05 17:28:37.538897	
't',2019-11-05 17:28:37.755774	
'y',2019-11-05 17:28:37.863497	
'p',2019-11-05 17:28:38.074120	
'e',2019-11-05 17:28:38.162495	
Key.space,2019-11-05 17:28:38.259173	
's',2019-11-05 17:28:38.359700	
'o',2019-11-05 17:28:38.400627	
Key.space,2019-11-05 17:28:38.479553	
'f',2019-11-05 17:28:38.839263	
'a',2019-11-05 17:28:38.907997	
's',2019-11-05 17:28:39.024293	
't',2019-11-05 17:28:39.094467	
Key.shift,2019-11-05 17:28:39.546595	
'/',2019-11-05 17:28:39.605047	
Key.enter,2019-11-05 17:28:40.111968	
't',2019-11-05 17:29:13.083017	
'h',2019-11-05 17:29:13.222086	
'a',2019-11-05 17:29:13.339355	
't',2019-11-05 17:29:13.450018	
';',2019-11-05 17:29:13.741325	
's',2019-11-05 17:29:13.849491	
Key.space,2019-11-05 17:29:14.083799	
Key.backspace,2019-11-05 17:29:14.679689	
Key.backspace,2019-11-05 17:29:14.807432	
Key.backspace,2019-11-05 17:29:15.175904	
"'",2019-11-05 17:29:15.663258	
's',2019-11-05 17:29:15.722736	
Key.space,2019-11-05 17:29:15.890207	
'c',2019-11-05 17:29:16.170196	
'r',2019-11-05 17:29:16.240604	
'a',2019-11-05 17:29:16.339993	
'z',2019-11-05 17:29:16.647958	
'y',2019-11-05 17:29:16.719752	
Key.enter,2019-11-05 17:29:17.599691	
Key.esc,2019-11-05 17:29:32.151156	
