Participant ID,CCP2-B-I
'a',2019-11-08 15:11:30.704445	
'n',2019-11-08 15:11:30.853970	
'y',2019-11-08 15:11:31.031036	
Key.space,2019-11-08 15:11:31.095460	
'p',2019-11-08 15:11:31.608502	
'l',2019-11-08 15:11:31.718301	
'a',2019-11-08 15:11:31.896016	
'n',2019-11-08 15:11:31.976280	
's',2019-11-08 15:11:32.101215	
Key.shift,2019-11-08 15:11:33.218748	
'/',2019-11-08 15:11:33.286151	
Key.enter,2019-11-08 15:11:34.022977	
Key.ctrl_l,2019-11-08 15:11:40.286731	
Key.shift,2019-11-08 15:12:21.811317	
'i',2019-11-08 15:12:21.885276	
Key.space,2019-11-08 15:12:22.068217	
'j',2019-11-08 15:12:22.313965	
'u',2019-11-08 15:12:22.477607	
's',2019-11-08 15:12:23.128495	
't',2019-11-08 15:12:23.197129	
Key.space,2019-11-08 15:12:23.666806	
'h',2019-11-08 15:12:24.233843	
'a',2019-11-08 15:12:24.411349	
'v',2019-11-08 15:12:24.485707	
Key.space,2019-11-08 15:12:24.667804	
Key.backspace,2019-11-08 15:12:25.376548	
'w',2019-11-08 15:12:25.653731	
Key.space,2019-11-08 15:12:25.769246	
Key.backspace,2019-11-08 15:12:26.404267	
Key.backspace,2019-11-08 15:12:26.564221	
'e',2019-11-08 15:12:26.678308	
Key.space,2019-11-08 15:12:26.895102	
'c',2019-11-08 15:12:27.410348	
'l',2019-11-08 15:12:27.524444	
'a',2019-11-08 15:12:27.645924	
's',2019-11-08 15:12:27.862233	
's',2019-11-08 15:12:28.039601	
Key.space,2019-11-08 15:12:28.180415	
'i',2019-11-08 15:12:28.610219	
'n',2019-11-08 15:12:28.737890	
Key.space,2019-11-08 15:12:28.834310	
't',2019-11-08 15:12:28.944838	
'h',2019-11-08 15:12:29.030828	
'e',2019-11-08 15:12:29.084412	
Key.space,2019-11-08 15:12:29.156146	
'a',2019-11-08 15:12:29.435118	
'f',2019-11-08 15:12:29.557374	
't',2019-11-08 15:12:29.925433	
'e',2019-11-08 15:12:30.050098	
'r',2019-11-08 15:12:30.192679	
'n',2019-11-08 15:12:30.390904	
'o',2019-11-08 15:12:30.571592	
'o',2019-11-08 15:12:30.710510	
'n',2019-11-08 15:12:30.895197	
'.',2019-11-08 15:12:31.595732	
Key.space,2019-11-08 15:12:31.691209	
Key.caps_lock,2019-11-08 15:12:31.891691	
'n',2019-11-08 15:12:32.219916	
'd',2019-11-08 15:12:32.337950	
Key.space,2019-11-08 15:12:32.431526	
Key.backspace,2019-11-08 15:12:32.917458	
Key.backspace,2019-11-08 15:12:33.025352	
Key.backspace,2019-11-08 15:12:33.148070	
Key.backspace,2019-11-08 15:12:33.277785	
Key.backspace,2019-11-08 15:12:33.398696	
",",2019-11-08 15:12:34.009923	Key.space,2019-11-08 15:12:34.136510	
Key.caps_lock,2019-11-08 15:12:35.102084	
'a',2019-11-08 15:12:35.555363	
'n',2019-11-08 15:12:35.633442	
'd',2019-11-08 15:12:35.773409	
Key.space,2019-11-08 15:12:35.867057	
't',2019-11-08 15:12:36.075364	
'h',2019-11-08 15:12:36.138594	
'e',2019-11-08 15:12:36.280471	
'n',2019-11-08 15:12:36.350105	
Key.space,2019-11-08 15:12:36.390942	
Key.shift,2019-11-08 15:12:37.019728	
'i',2019-11-08 15:12:37.085713	
"'",2019-11-08 15:12:37.465290	
'm',2019-11-08 15:12:37.681346	
Key.space,2019-11-08 15:12:37.801749	
'd',2019-11-08 15:12:38.633214	
'r',2019-11-08 15:12:38.829615	
'i',2019-11-08 15:12:38.937187	
'v',2019-11-08 15:12:39.080212	
'i',2019-11-08 15:12:39.143045	
'n',2019-11-08 15:12:39.297316	
'g',2019-11-08 15:12:39.408946	
Key.space,2019-11-08 15:12:39.473253	
'h',2019-11-08 15:12:39.917081	
'o',2019-11-08 15:12:40.106402	
'm',2019-11-08 15:12:40.249495	
'e',2019-11-08 15:12:40.427611	
Key.space,2019-11-08 15:12:40.526932	
'r',2019-11-08 15:12:40.739185	
'o',2019-11-08 15:12:40.803129	
Key.space,2019-11-08 15:12:40.874291	
Key.backspace,2019-11-08 15:12:41.240554	
Key.backspace,2019-11-08 15:12:41.348157	
Key.backspace,2019-11-08 15:12:41.449301	
't',2019-11-08 15:12:41.962080	
'o',2019-11-08 15:12:42.028699	
Key.space,2019-11-08 15:12:42.108039	
'v',2019-11-08 15:12:42.582160	
'i',2019-11-08 15:12:43.025461	
's',2019-11-08 15:12:43.827958	
'i',2019-11-08 15:12:43.916879	
't',2019-11-08 15:12:44.075248	
Key.space,2019-11-08 15:12:44.142557	
'm',2019-11-08 15:12:44.437915	
'y',2019-11-08 15:12:44.610105	
Key.space,2019-11-08 15:12:44.681791	
'f',2019-11-08 15:12:45.254603	
'a',2019-11-08 15:12:45.451020	
'm',2019-11-08 15:12:45.562430	
'i',2019-11-08 15:12:45.860069	
'l',2019-11-08 15:12:46.156817	
'y',2019-11-08 15:12:46.543242	
Key.space,2019-11-08 15:12:46.748841	
Key.shift,2019-11-08 15:12:48.332052	
';',2019-11-08 15:12:48.486577	
Key.shift,2019-11-08 15:12:49.312343	
'0',2019-11-08 15:12:49.379368	
Key.enter,2019-11-08 15:12:50.139416	
Key.shift,2019-11-08 15:13:14.598840	
'y',2019-11-08 15:13:14.727923	
'e',2019-11-08 15:13:15.156669	
'a',2019-11-08 15:13:15.420189	
'h',2019-11-08 15:13:15.523555	
Key.shift,2019-11-08 15:13:16.331130	
'1',2019-11-08 15:13:16.506041	
Key.space,2019-11-08 15:13:16.780432	
Key.shift,2019-11-08 15:13:17.418724	
't',2019-11-08 15:13:17.523667	
'h',2019-11-08 15:13:17.713422	
'y',2019-11-08 15:13:18.085216	
Key.backspace,2019-11-08 15:13:18.527386	
Key.backspace,2019-11-08 15:13:18.700074	
Key.backspace,2019-11-08 15:13:18.828169	
Key.backspace,2019-11-08 15:13:19.014637	
Key.space,2019-11-08 15:13:19.463684	
Key.shift,2019-11-08 15:13:19.699617	
'i',2019-11-08 15:13:19.765610	
Key.space,2019-11-08 15:13:20.372355	
'm',2019-11-08 15:13:20.627837	
'i',2019-11-08 15:13:20.737270	
's',2019-11-08 15:13:20.909386	
's',2019-11-08 15:13:21.041332	
Key.space,2019-11-08 15:13:21.155618	
't',2019-11-08 15:13:21.536223	
'h',2019-11-08 15:13:21.613862	
'e',2019-11-08 15:13:21.712110	
'm',2019-11-08 15:13:21.810966	
",",2019-11-08 15:13:22.646224	Key.space,2019-11-08 15:13:22.780825	
't',2019-11-08 15:13:22.954696	
'h',2019-11-08 15:13:23.040703	
'e',2019-11-08 15:13:23.160478	
'y',2019-11-08 15:13:23.231775	
"'",2019-11-08 15:13:23.588838	
'r',2019-11-08 15:13:23.672909	
'e',2019-11-08 15:13:23.750293	
Key.space,2019-11-08 15:13:23.838740	
'p',2019-11-08 15:13:24.737270	
'r',2019-11-08 15:13:24.874125	
Key.backspace,2019-11-08 15:13:25.172713	
Key.backspace,2019-11-08 15:13:25.311957	
Key.backspace,2019-11-08 15:13:25.455065	
Key.backspace,2019-11-08 15:13:25.616478	
Key.backspace,2019-11-08 15:13:25.737929	
Key.backspace,2019-11-08 15:13:25.898121	
Key.backspace,2019-11-08 15:13:26.004377	
Key.backspace,2019-11-08 15:13:26.180532	
Key.backspace,2019-11-08 15:13:26.319131	
Key.backspace,2019-11-08 15:13:26.453066	
Key.backspace,2019-11-08 15:13:26.596378	
Key.space,2019-11-08 15:13:27.763767	
't',2019-11-08 15:13:27.977139	
'h',2019-11-08 15:13:28.062720	
'e',2019-11-08 15:13:28.124630	
'y',2019-11-08 15:13:28.202606	
"'",2019-11-08 15:13:28.881253	
'r',2019-11-08 15:13:29.002092	
'e',2019-11-08 15:13:29.127680	
Key.space,2019-11-08 15:13:29.184299	
'p',2019-11-08 15:13:29.713913	
'r',2019-11-08 15:13:29.804391	
'e',2019-11-08 15:13:29.946775	
't',2019-11-08 15:13:30.113026	
't',2019-11-08 15:13:30.238896	
'y',2019-11-08 15:13:30.339752	
Key.space,2019-11-08 15:13:30.428105	
'a',2019-11-08 15:13:31.516186	
'w',2019-11-08 15:13:31.734497	
'e',2019-11-08 15:13:31.914354	
's',2019-11-08 15:13:32.139058	
'o',2019-11-08 15:13:32.224094	
'm',2019-11-08 15:13:32.375137	
'e',2019-11-08 15:13:32.472635	
Key.space,2019-11-08 15:13:32.566125	
'l',2019-11-08 15:13:32.858409	
'o',2019-11-08 15:13:33.008979	
'l',2019-11-08 15:13:33.185536	
Key.backspace,2019-11-08 15:13:33.549756	
Key.backspace,2019-11-08 15:13:33.687557	
Key.backspace,2019-11-08 15:13:33.843184	
Key.enter,2019-11-08 15:13:34.330511	
Key.ctrl_l,2019-11-08 15:13:44.397329	
Key.ctrl_l,2019-11-08 15:13:55.342825	
Key.shift,2019-11-08 15:14:09.837498	
't',2019-11-08 15:14:09.886579	
'h',2019-11-08 15:14:10.319862	
'i',2019-11-08 15:14:10.541986	
's',2019-11-08 15:14:10.673782	
Key.space,2019-11-08 15:14:10.759132	
'i',2019-11-08 15:14:11.064842	
's',2019-11-08 15:14:11.142343	
Key.space,2019-11-08 15:14:11.231132	
's',2019-11-08 15:14:11.760896	
'o',2019-11-08 15:14:11.852760	
Key.space,2019-11-08 15:14:11.925442	
'a',2019-11-08 15:14:12.163727	
'w',2019-11-08 15:14:12.364055	
'k',2019-11-08 15:14:12.925280	
'w',2019-11-08 15:14:13.093414	
'a',2019-11-08 15:14:14.554779	
'r',2019-11-08 15:14:14.847695	
'd',2019-11-08 15:14:15.080223	
Key.space,2019-11-08 15:14:15.193058	
Key.shift,2019-11-08 15:14:16.690886	
'i',2019-11-08 15:14:16.764885	
"'",2019-11-08 15:14:17.048375	
'm',2019-11-08 15:14:18.290858	
Key.space,2019-11-08 15:14:18.387402	
's',2019-11-08 15:14:18.655867	
't',2019-11-08 15:14:19.780500	
'i',2019-11-08 15:14:19.944636	
'l',2019-11-08 15:14:20.111127	
'l',2019-11-08 15:14:20.267788	
Key.space,2019-11-08 15:14:20.392967	
'e',2019-11-08 15:14:20.673296	
'x',2019-11-08 15:14:21.033396	
'p',2019-11-08 15:14:21.066950	
'e',2019-11-08 15:14:21.860485	
'c',2019-11-08 15:14:22.162878	
't',2019-11-08 15:14:22.449760	
'i',2019-11-08 15:14:22.539370	
'n',2019-11-08 15:14:22.714369	
'g',2019-11-08 15:14:23.100549	
Key.space,2019-11-08 15:14:23.192480	
Key.esc,2019-11-08 15:14:37.969177	
